Date,Open,High,Low,Close,Volume,Adj Close
2016-12-15,28.969999,29.049999,28.299999,28.41,6883500,28.41
2016-12-14,30.40,30.459999,28.969999,29.01,6573600,29.01
2016-12-13,30.549999,30.68,30.040001,30.389999,4731200,30.389999
2016-12-12,29.91,30.360001,29.73,30.35,4211300,30.35
2016-12-09,30.190001,30.58,29.950001,30.040001,4321800,30.040001
2016-12-08,29.870001,30.440001,29.700001,30.110001,4603800,30.110001
2016-12-07,29.549999,30.190001,29.50,30.129999,3750900,30.129999
2016-12-06,29.280001,29.629999,29.190001,29.43,3349400,29.43
2016-12-05,29.15,29.26,28.82,29.23,3168500,29.23
2016-12-02,28.76,29.459999,28.76,29.08,2701800,29.08
2016-12-01,29.33,29.35,28.42,28.610001,4197400,28.610001
2016-11-30,29.33,29.67,29.01,29.530001,5478900,29.530001
2016-11-29,29.379999,29.90,29.33,29.60,4151500,29.60
2016-11-28,29.25,29.780001,29.200001,29.379999,4234900,29.379999
2016-11-25,29.59,29.65,29.129999,29.26,2109100,29.26
2016-11-23,29.16,29.57,28.92,29.51,4938300,29.51
2016-11-22,29.030001,29.43,28.549999,29.40,3856400,29.40
2016-11-21,29.02,29.33,28.60,28.67,3464300,28.67
2016-11-18,28.780001,28.940001,28.48,28.68,3023200,28.68
2016-11-17,29.209999,29.35,28.67,28.76,2667800,28.76
2016-11-16,29.34,29.610001,29.07,29.32,2243900,29.32
